pumpFlow,pumpRatedHead,pumpRatedRpm,pumpRunRpm,pumpEff,flowLossCoeff,heatExchFlowLossCoef,heatExchValveOpen,denitFlowLossCoef,ozoneFlowLossCoef,ozoneValveOpen,denitValveOpen,deaerationFlowLossCoef,pumpEffOut,pumpPower,pumpFlow,headExchFlow,heatExch2Flow,sandPowerOut,sandPowerIn,sandFlow,heatExchPowerIn,heatExchPowerOut,juncPowerIn,ozone1_6Flow,ozone1_6PowerIn,denitrifictionPowerIn,denitrificationFlow,denitificationPowerOut,ozone7_12Flow,deareationPowerIn,deareationFlow,powerIn,bypassFlow,deareationPowerOut
1300,40,1000,1000,0.6,0.1,6,0.1,3,0.1,0.1,1,0.1,0.545085206,16.2637873,1638.63148,-58428.37674,-557.9966459,44.32294952,44.32529415,-902.0768413,42.75607368,42.70217265,43.9622231,-469.9528343,42.18726757,43.9563797,-4522.731966,42.18826835,-753.7886611,42.18663121,-58986.37339,31.92519261,-51643.92441,32.16148597
1300,40,1000,1000,0.6,0.1,6,0.1,3,0.1,1,0.1,0.1,0.53414571,16.23497056,1677.209475,-59804.29702,-570.781884,43.7661394,43.76859859,-923.8521623,42.12470415,42.0683048,43.37068489,-4554.654631,42.73111366,42.83093983,-1358.227926,42.67148702,-226.3713209,42.67133938,-60375.0789,31.92132141,-31688.92319,32.16860439
1300,40,1000,1000,0.6,0.1,6,0.1,3,0.1,1,1,2,0.437216795,11.71094123,538.9465912,-19210.90326,-189.6041678,53.83413936,53.83437916,-288.4888343,53.66414809,53.65792418,53.79107345,-1495.92722,53.72103839,53.77657451,-846.1967057,53.71468146,-141.0327843,53.71459029,-19400.50742,31.99766281,-9578.747395,32.02473078
1300,40,1000,1000,0.6,0.1,6,0.1,3,6,0.1,0.1,0.1,0.546238423,16.26627212,1634.23992,-58271.74781,-556.541071,44.38531333,44.38764509,-899.5987973,42.82681365,42.77319343,44.02718031,-481.5431623,42.17225737,42.68617361,-2464.115337,42.16132772,-410.6858895,42.13216962,-58828.28888,31.92562757,-53474.91457,32.16068548
1300,40,1000,1000,0.6,0.1,6,0.1,3,6,0.1,1,2,0.436473486,11.69643543,537.2346123,-19149.85764,-189.0211521,53.83947868,53.83971692,-287.5497746,53.6705643,53.66437862,53.79915417,-164.5494189,53.58157622,53.79845743,-1558.286546,53.58855632,-259.7144244,53.57689515,-19338.87879,31.99771857,-16793.29573,32.02461972
1300,40,1000,1000,0.6,0.1,6,0.1,3,6,1,0.1,2,0.43684838,11.7037471,538.0973218,-19180.6201,-189.3149249,53.83679187,53.8370309,-288.0229805,53.66733527,53.66113035,53.79553423,-852.4254909,53.77185149,53.68855815,-681.1185591,53.64845629,-113.5197599,53.64622841,-19369.93502,31.99769049,-13574.26352,32.02467564
1300,40,1000,1000,0.6,0.1,6,0.1,3,6,1,1,0.1,0.539310532,16.24964978,1659.639242,-59177.63821,-564.9589134,44.02173619,44.02414285,-913.9331636,42.41447621,42.35922181,43.6453282,-2384.681101,43.43230849,43.60835344,-3564.355475,42.51019119,-594.0592458,42.44918218,-59742.59712,31.92309572,-41870.15504,32.16534311
1300,40,1000,1000,0.6,0.1,6,1,0.1,0.1,0.1,0.1,2,0.436411674,11.69523076,537.0925096,-18996.92922,-336.8340815,53.8399205,53.84015861,-287.4718315,53.67993398,53.66029493,53.79995014,-171.0615739,53.56559664,53.56861459,-1023.476941,53.56559633,-170.5794902,53.56548605,-19333.7633,31.99772319,-17283.91692,32.02461051
1300,40,1000,1000,0.6,0.1,6,1,0.1,0.1,0.1,1,0.1,0.53809783,16.24636004,1663.867737,-58886.24352,-1008.56828,43.96053106,43.96295027,-916.3199656,42.42522332,42.24908681,43.58173452,-339.3666343,42.50263319,43.48191577,-18188.4316,42.5287774,-3031.405267,42.50230133,-59894.8118,31.92267147,-39670.18039,32.16612318
1300,40,1000,1000,0.6,0.1,6,1,0.1,0.1,1,0.1,0.1,0.534083675,16.23478415,1677.420685,-59366.12024,-1016.561724,43.76304799,43.76550778,-923.9713197,42.20260875,42.0236681,43.36892426,-4534.333004,42.73314444,42.68136357,-1587.380013,42.67410394,-264.5633356,42.67390228,-60382.68197,31.92130094,-31589.30393,32.16864207
1300,40,1000,1000,0.6,0.1,6,1,0.1,0.1,1,1,2,0.437283248,11.71223979,539.0998272,-19067.97278,-338.0509087,53.83365995,53.83389989,-288.5728932,53.67247462,53.65269341,53.79037441,-1072.656476,53.73026519,53.78049904,-4253.447961,53.72839519,-708.9079935,53.72694786,-19406.02369,31.9976578,-8716.636875,32.02474075
1300,40,1000,1000,0.6,0.1,6,1,0.1,6,0.1,0.1,0.1,0.545997953,16.26576419,1635.16138,-57870.1834,-991.2756038,44.37224508,44.37457954,-900.1187416,42.88898256,42.71890564,44.01575134,-478.3974245,42.18315247,42.20654254,-2862.459756,42.1829341,-477.076626,42.14358671,-58861.459,31.92553639,-53128.6147,32.1608533
1300,40,1000,1000,0.6,0.1,6,1,0.1,6,0.1,1,2,0.436795634,11.70271783,537.9758572,-19028.19301,-337.3694698,53.83717063,53.83740955,-287.9563544,53.67665733,53.6569558,53.79634919,-134.918495,53.63960638,53.79055943,-4478.37933,53.73277189,-746.396555,53.63645932,-19365.56248,31.99769445,-14077.67218,32.02466777
1300,40,1000,1000,0.6,0.1,6,1,0.1,6,1,0.1,2,0.436857194,11.70391911,538.1176202,-19033.21027,-337.4554597,53.83672856,53.83696761,-288.0341146,53.67613057,53.656419,53.79570297,-845.8154555,53.77154408,53.65268538,-792.3454343,53.65087643,-132.0575724,53.64786152,-19370.66573,31.99768983,-13503.42756,32.02467696
1300,40,1000,1000,0.6,0.1,6,1,0.1,6,1,1,0.1,0.536800856,16.2427315,1668.314549,-59043.6938,-1011.19142,43.89595493,43.89838743,-918.8302763,42.35241045,42.17535594,43.51262251,-1997.599537,43.24842834,43.46714124,-10875.28495,43.12638904,-1812.547491,42.55846872,-60054.88522,31.92222288,-37194.00305,32.16694778
1300,40,1000,1000,0.6,0.1,6,1,3,0.1,0.1,0.1,0.1,0.546192627,16.26617581,1634.415579,-57843.77613,-990.8360158,44.3828228,44.38515508,-899.6979154,42.90091302,42.7309869,44.02675379,-486.3009587,42.1350283,42.66701444,-2481.259866,42.13483965,-413.543311,42.1343469,-58834.61215,31.92561018,-53435.54653,32.16071748
1300,40,1000,1000,0.6,0.1,6,1,3,0.1,0.1,1,2,0.436480543,11.69657297,537.2508346,-19002.53272,-336.9300511,53.83942823,53.83966649,-287.5586724,53.67934735,53.65969712,53.79935147,-165.8423065,53.57830546,53.79862359,-1596.135558,53.57840216,-266.022593,53.57819825,-19339.46277,31.99771804,-16748.27337,32.02462077
1300,40,1000,1000,0.6,0.1,6,1,3,0.1,1,0.1,2,0.437204708,11.71070505,538.9186987,-19061.56222,-337.9411188,53.83422659,53.83446637,-288.473534,53.6731499,53.65338154,53.79151002,-1532.351083,53.7191099,53.73043387,-456.8516581,53.7123932,-76.14194303,53.71234398,-19399.50334,31.99766372,-9748.54518,32.02472897
1300,40,1000,1000,0.6,0.1,6,1,3,0.1,1,1,0.1,0.53389573,16.23421803,1678.040339,-59388.06153,-1016.926345,43.75397125,43.7564329,-924.3211811,42.1923801,42.0133112,43.35902518,-4451.784216,42.7388845,43.23062927,-2518.780273,42.68228741,-419.7967121,42.68177968,-60404.98787,31.92123803,-31175.50231,32.16875767
1300,40,1000,1000,0.6,0.1,6,1,3,6,0.1,0.1,2,0.436392031,11.69484797,537.0473594,-18995.33127,-336.8066976,53.84006083,53.84029891,-287.4470668,53.68010121,53.66046536,53.80011755,-170.7336888,53.56690106,53.63150715,-873.6660098,53.56552707,-145.6110016,53.56186152,-19332.13797,31.99772466,-17434.06982,32.02460759
1300,40,1000,1000,0.6,0.1,6,1,3,6,0.1,1,0.1,0.545141308,16.26391101,1638.41937,-57985.54217,-993.1958468,44.32596642,44.32831043,-901.9571511,42.83678788,42.66605147,43.96754713,-466.1389634,42.22156304,43.96195662,-4414.343536,42.27757577,-735.7239227,42.18399906,-58978.73802,31.92521363,-51767.5607,32.16144729
